	name	permutation	distance
26	rnd28_20.tsp	[0, 17, 13, 15, 1, 16, 5, 10, 2, 4, 6, 9, 7, 3, 18, 14, 12, 11, 8, 19]	3575
27	rnd90_20.tsp	[0, 7, 9, 4, 16, 11, 14, 10, 13, 19, 17, 12, 15, 3, 5, 8, 6, 2, 1, 18]	4574
28	rnd70_20.tsp	[0, 16, 10, 7, 17, 6, 2, 4, 19, 15, 3, 14, 5, 8, 11, 12, 9, 1, 13, 18]	3437
29	rnd99_20.tsp	[0, 13, 1, 10, 4, 11, 12, 14, 8, 3, 2, 17, 5, 19, 9, 7, 6, 18, 15, 16]	3622
30	rnd66_20.tsp	[0, 16, 1, 14, 9, 3, 15, 11, 10, 12, 8, 17, 5, 6, 7, 2, 4, 19, 13, 18]	3749
31	rnd64_20.tsp	[0, 9, 18, 2, 19, 17, 10, 3, 6, 7, 14, 1, 8, 13, 5, 16, 11, 15, 4, 12]	3687
32	rnd68_20.tsp	[0, 5, 17, 15, 16, 7, 8, 6, 18, 19, 10, 3, 12, 14, 1, 2, 4, 13, 11, 9]	4606
33	rnd12_20.tsp	[0, 2, 6, 16, 17, 19, 8, 9, 7, 1, 14, 13, 18, 15, 5, 12, 10, 3, 4, 11]	3443
34	rnd44_20.tsp	[0, 8, 18, 2, 6, 5, 14, 11, 13, 3, 4, 16, 19, 1, 17, 12, 10, 7, 15, 9]	3382
35	rnd77_20.tsp	[0, 7, 14, 9, 12, 18, 11, 10, 16, 1, 15, 5, 6, 4, 8, 13, 19, 2, 3, 17]	4187
36	rnd52_20.tsp	[0, 3, 17, 1, 5, 18, 13, 10, 12, 14, 16, 6, 9, 19, 4, 11, 7, 8, 2, 15]	4021
37	rnd21_20.tsp	[0, 2, 14, 5, 13, 19, 8, 4, 6, 7, 11, 3, 1, 15, 9, 16, 12, 10, 18, 17]	3676
38	rnd67_20.tsp	[0, 16, 18, 12, 14, 15, 10, 5, 2, 6, 13, 7, 1, 11, 17, 4, 8, 9, 3, 19]	3469
39	rnd53_20.tsp	[0, 6, 16, 2, 1, 15, 9, 18, 17, 10, 19, 4, 11, 13, 7, 14, 8, 5, 3, 12]	3409
40	rnd80_20.tsp	[0, 8, 6, 2, 9, 11, 5, 13, 10, 7, 1, 14, 4, 17, 18, 3, 12, 15, 16, 19]	4026
41	rnd71_20.tsp	[0, 1, 6, 9, 19, 3, 14, 4, 16, 8, 18, 2, 13, 7, 5, 12, 15, 10, 17, 11]	3495
42	rnd1_20.tsp	[0, 6, 8, 16, 17, 12, 18, 7, 2, 13, 19, 15, 5, 11, 10, 9, 3, 4, 1, 14]	3807
43	rnd87_20.tsp	[0, 9, 5, 14, 2, 7, 8, 19, 4, 18, 3, 11, 6, 13, 10, 17, 1, 12, 16, 15]	3604
44	rnd15_20.tsp	[0, 9, 5, 12, 6, 4, 19, 8, 16, 1, 13, 3, 11, 2, 17, 18, 14, 7, 10, 15]	4226
45	rnd0_20.tsp	[0, 14, 18, 2, 7, 16, 3, 5, 17, 11, 4, 10, 13, 12, 9, 19, 8, 1, 6, 15]	4271
46	rnd96_20.tsp	[0, 12, 4, 5, 8, 18, 1, 11, 16, 7, 9, 3, 2, 10, 19, 15, 17, 6, 14, 13]	3567
47	rnd29_20.tsp	[0, 2, 3, 18, 5, 7, 9, 11, 16, 19, 10, 6, 1, 13, 8, 15, 17, 4, 12, 14]	3769
48	rnd45_20.tsp	[0, 7, 9, 12, 2, 11, 5, 10, 14, 18, 19, 6, 8, 13, 17, 1, 3, 4, 15, 16]	4122
49	rnd88_20.tsp	[0, 15, 7, 5, 18, 11, 3, 13, 14, 10, 16, 6, 2, 1, 8, 9, 17, 12, 4, 19]	4188
50	rnd20_20.tsp	[0, 3, 17, 13, 7, 15, 1, 5, 4, 6, 11, 8, 9, 12, 18, 10, 19, 14, 2, 16]	3641
51	rnd94_20.tsp	[0, 9, 5, 2, 17, 15, 11, 3, 16, 7, 6, 10, 4, 19, 1, 8, 13, 18, 12, 14]	4138
52	rnd30_20.tsp	[0, 12, 16, 13, 5, 11, 4, 17, 19, 14, 18, 3, 9, 6, 10, 2, 8, 7, 1, 15]	3631
53	rnd81_20.tsp	[0, 7, 11, 1, 10, 8, 12, 5, 18, 4, 19, 6, 3, 13, 15, 17, 14, 9, 2, 16]	4349
54	rnd31_20.tsp	[0, 1, 6, 5, 17, 19, 2, 12, 14, 15, 11, 18, 7, 3, 13, 16, 4, 10, 9, 8]	3512
55	rnd46_20.tsp	[0, 9, 12, 2, 5, 7, 18, 13, 17, 11, 1, 6, 8, 3, 15, 14, 4, 16, 19, 10]	4039
56	rnd48_20.tsp	[0, 11, 12, 18, 17, 6, 2, 8, 10, 16, 13, 4, 19, 5, 1, 3, 14, 9, 7, 15]	3915
57	rnd41_20.tsp	[0, 1, 15, 9, 2, 7, 18, 16, 5, 6, 10, 13, 14, 8, 4, 19, 17, 12, 3, 11]	3171
58	rnd42_20.tsp	[0, 10, 1, 16, 5, 4, 7, 2, 17, 3, 12, 15, 9, 18, 14, 8, 13, 6, 19, 11]	3596
59	rnd10_20.tsp	[0, 2, 8, 4, 14, 10, 17, 3, 16, 9, 1, 11, 19, 7, 6, 18, 15, 5, 12, 13]	3829
60	rnd61_20.tsp	[0, 8, 4, 17, 13, 11, 3, 2, 14, 7, 6, 10, 1, 16, 5, 19, 12, 18, 9, 15]	4119
61	rnd7_20.tsp	[0, 14, 9, 1, 12, 7, 2, 4, 3, 6, 15, 8, 11, 16, 10, 17, 13, 19, 5, 18]	3536
62	rnd34_20.tsp	[0, 2, 18, 14, 7, 8, 11, 17, 3, 15, 4, 12, 10, 16, 13, 19, 5, 6, 1, 9]	3764
63	rnd69_20.tsp	[0, 9, 5, 4, 19, 17, 18, 6, 7, 14, 15, 13, 1, 16, 10, 3, 12, 8, 2, 11]	3049
64	rnd32_20.tsp	[0, 2, 11, 7, 6, 13, 9, 5, 8, 17, 1, 12, 10, 18, 4, 16, 15, 3, 19, 14]	4181
65	rnd55_20.tsp	[0, 2, 7, 11, 1, 5, 13, 10, 12, 9, 14, 16, 6, 15, 17, 19, 8, 18, 4, 3]	3618
66	rnd4_20.tsp	[0, 4, 16, 1, 7, 18, 15, 8, 5, 10, 11, 9, 6, 14, 12, 2, 3, 17, 13, 19]	3571
67	rnd98_20.tsp	[0, 2, 18, 1, 19, 17, 15, 16, 7, 8, 9, 6, 11, 4, 10, 12, 3, 5, 14, 13]	4182
68	rnd74_20.tsp	[0, 10, 7, 8, 17, 9, 5, 18, 11, 15, 19, 12, 4, 16, 13, 6, 2, 3, 1, 14]	3521
69	rnd8_20.tsp	[0, 14, 2, 3, 1, 18, 10, 13, 5, 7, 12, 4, 19, 15, 9, 8, 6, 11, 17, 16]	4292
70	rnd25_20.tsp	[0, 13, 14, 9, 4, 17, 16, 6, 1, 10, 8, 7, 11, 19, 2, 3, 5, 18, 12, 15]	4447
71	rnd63_20.tsp	[0, 2, 7, 12, 9, 11, 5, 1, 13, 10, 16, 4, 3, 14, 8, 17, 18, 15, 19, 6]	3804
72	rnd39_20.tsp	[0, 11, 3, 2, 14, 19, 9, 18, 7, 10, 8, 15, 17, 5, 16, 6, 12, 4, 1, 13]	3460
73	rnd37_20.tsp	[0, 2, 12, 19, 5, 10, 13, 16, 14, 1, 7, 6, 3, 4, 9, 11, 8, 15, 18, 17]	3622
74	rnd92_20.tsp	[0, 16, 18, 4, 14, 6, 3, 1, 9, 8, 17, 7, 5, 12, 15, 10, 11, 13, 2, 19]	3659
75	rnd18_20.tsp	[0, 2, 9, 10, 1, 7, 16, 4, 17, 8, 6, 11, 19, 12, 5, 18, 15, 3, 14, 13]	3593
76	rnd33_20.tsp	[0, 10, 7, 3, 11, 2, 1, 19, 8, 18, 12, 5, 6, 4, 13, 17, 9, 14, 15, 16]	3798
77	rnd22_20.tsp	[0, 11, 7, 16, 5, 17, 9, 14, 10, 15, 18, 2, 4, 6, 1, 13, 8, 19, 3, 12]	4039
78	rnd47_20.tsp	[0, 4, 12, 11, 6, 19, 2, 3, 17, 15, 5, 16, 9, 13, 7, 1, 8, 18, 10, 14]	3696
79	rnd85_20.tsp	[0, 8, 2, 18, 4, 9, 7, 3, 15, 13, 19, 12, 10, 11, 17, 5, 1, 6, 16, 14]	4154
80	rnd58_20.tsp	[0, 2, 15, 13, 18, 19, 9, 17, 3, 16, 12, 6, 1, 7, 5, 14, 4, 11, 8, 10]	3337
81	rnd14_20.tsp	[0, 15, 5, 14, 12, 13, 8, 16, 19, 6, 7, 18, 10, 4, 1, 3, 9, 11, 2, 17]	3563
82	rnd50_20.tsp	[0, 5, 14, 9, 19, 6, 18, 3, 12, 1, 2, 17, 15, 16, 4, 8, 13, 11, 7, 10]	4044
83	rnd91_20.tsp	[0, 7, 9, 14, 19, 12, 11, 5, 8, 13, 2, 18, 3, 16, 4, 1, 6, 10, 15, 17]	3605
84	rnd65_20.tsp	[0, 13, 8, 3, 19, 7, 16, 2, 1, 10, 9, 5, 6, 4, 11, 12, 14, 15, 18, 17]	4023
85	rnd79_20.tsp	[0, 2, 3, 17, 1, 13, 9, 11, 14, 19, 15, 16, 18, 6, 12, 10, 8, 4, 5, 7]	4489
86	rnd62_20.tsp	[0, 6, 10, 16, 1, 2, 4, 14, 8, 9, 5, 12, 15, 7, 19, 11, 3, 13, 18, 17]	4155
87	rnd93_20.tsp	[0, 5, 7, 14, 11, 16, 1, 13, 15, 19, 2, 18, 3, 10, 6, 12, 4, 8, 9, 17]	4063
88	rnd11_20.tsp	[0, 15, 7, 11, 9, 17, 2, 3, 14, 1, 4, 8, 13, 6, 10, 12, 18, 19, 5, 16]	3544
89	rnd60_20.tsp	[0, 2, 6, 5, 9, 19, 10, 16, 14, 18, 17, 3, 13, 12, 15, 7, 11, 1, 4, 8]	3705
90	rnd56_20.tsp	[0, 11, 7, 19, 4, 5, 9, 17, 8, 1, 3, 6, 13, 18, 10, 14, 12, 2, 15, 16]	4430
91	rnd5_20.tsp	[0, 2, 6, 14, 16, 11, 9, 1, 3, 7, 19, 4, 8, 17, 18, 5, 12, 13, 10, 15]	3772
92	rnd84_20.tsp	[0, 4, 13, 14, 1, 3, 2, 17, 15, 12, 6, 7, 5, 8, 10, 11, 18, 19, 9, 16]	3570
93	rnd86_20.tsp	[0, 7, 3, 2, 17, 11, 6, 19, 14, 9, 16, 10, 1, 12, 8, 5, 4, 15, 13, 18]	3744
94	rnd89_20.tsp	[0, 9, 19, 13, 16, 4, 18, 6, 12, 8, 2, 17, 3, 15, 7, 14, 10, 5, 1, 11]	4131
95	rnd72_20.tsp	[0, 14, 2, 8, 12, 15, 17, 9, 5, 19, 13, 7, 16, 1, 3, 10, 6, 4, 11, 18]	4064
96	rnd97_20.tsp	[0, 15, 12, 14, 3, 4, 5, 19, 2, 8, 10, 16, 18, 6, 9, 11, 7, 1, 13, 17]	3292
97	rnd51_20.tsp	[0, 12, 8, 1, 15, 4, 7, 14, 6, 13, 9, 17, 5, 16, 2, 3, 10, 19, 11, 18]	4018
98	rnd27_20.tsp	[0, 1, 11, 12, 18, 10, 6, 19, 2, 16, 8, 7, 15, 3, 5, 17, 4, 13, 14, 9]	3890
99	rnd73_20.tsp	[0, 3, 8, 12, 5, 1, 7, 11, 4, 19, 6, 17, 16, 15, 18, 14, 2, 9, 13, 10]	3728
